BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
16170    17049    16057    19       -8.9800000799e+02    -1.3591886988e+03    51.36       121.7 
16277    17156    16164    14       -8.9800000799e+02    -1.3582095761e+03    51.25       123.0 
16384    17263    16271    17       -8.9800000799e+02    -1.3564013698e+03    51.05       124.3 
16492    17371    16379    28       -8.9800000799e+02    -1.3533807241e+03    50.71       125.7 
16599    17478    16486    15       -8.9800000799e+02    -1.3530054545e+03    50.67       127.0 
16706    17585    16593    12       -8.9800000799e+02    -1.3526794578e+03    50.63       128.2 
16813    17692    16700    19       -8.9800000799e+02    -1.3510899554e+03    50.46       129.6 
16921    17800    16808    8        -8.9800000799e+02    -1.3502837125e+03    50.37       130.8 
17028    17907    16915    15       -8.9800000799e+02    -1.3500811378e+03    50.34       132.2 
17136    18015    17023    26       -8.9800000799e+02    -1.3480902583e+03    50.12       133.4 
17243    18122    17130    18       -8.9800000799e+02    -1.3473942693e+03    50.04       134.8 
17351    18230    17238    18       -8.9800000799e+02    -1.3470787712e+03    50.01       136.1 
17458    18337    17345    17       -8.9800000799e+02    -1.3469490667e+03    49.99       137.5 
17565    18444    17452    15       -8.9800000799e+02    -1.3466767147e+03    49.96       138.9 
17671    18551    17558    20       -8.9800000799e+02    -1.3463384775e+03    49.93       140.2 
17778    18658    17665    19       -8.9800000799e+02    -1.3461309014e+03    49.90       141.5 
17885    18765    17772    16       -8.9800000799e+02    -1.3451576026e+03    49.79       142.8 
17992    18872    17879    17       -8.9800000799e+02    -1.3447222827e+03    49.75       144.1 
18099    18979    17986    14       -8.9800000799e+02    -1.3442654217e+03    49.70       145.3 
18177    19057    18064    8        -9.2100000000e+02    -1.3438431716e+03    45.91       148.5 
18284    19164    18171    10       -9.2100000000e+02    -1.3432158251e+03    45.84       149.7 
18391    19271    18278    17       -9.2100000000e+02    -1.3426983940e+03    45.79       151.1 
18498    19378    18385    27       -9.2100000000e+02    -1.3425837465e+03    45.77       152.3 
18605    19485    18492    15       -9.2100000000e+02    -1.3421502223e+03    45.73       153.6 
18712    19592    18599    22       -9.2100000000e+02    -1.3415164283e+03    45.66       154.9 
18819    19699    18706    9        -9.2100000000e+02    -1.3413172832e+03    45.64       156.2 
18926    19806    18813    14       -9.2100000000e+02    -1.3404268393e+03    45.54       157.5 
