BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
19763    25746    10164    40       -1.0200000000e+03    -1.1358150642e+03    11.35       29.9  
19909    25879    10240    27       -1.0200000000e+03    -1.1357094892e+03    11.34       30.0  
20050    26006    10319    121      -1.0200000000e+03    -1.1356366919e+03    11.34       30.1  
20186    26145    10387    126      -1.0200000000e+03    -1.1355607609e+03    11.33       30.2  
20340    26286    10459    33       -1.0200000000e+03    -1.1354523752e+03    11.32       30.4  
20462    26409    10531    19       -1.0200000000e+03    -1.1353788997e+03    11.31       30.6  
20604    26541    10605    212      -1.0200000000e+03    -1.1353616746e+03    11.31       30.7  
20736    26665    10681    37       -1.0200000000e+03    -1.1353276421e+03    11.31       30.8  
20876    26797    10759    30       -1.0200000000e+03    -1.1352187131e+03    11.30       30.9  
21032    26934    10837    100      -1.0200000000e+03    -1.1351761911e+03    11.29       31.0  
21190    27076    10915    37       -1.0200000000e+03    -1.1350547922e+03    11.28       31.2  
21332    27211    10995    44       -1.0200000000e+03    -1.1350156609e+03    11.28       31.3  
21469    27340    11076    53       -1.0200000000e+03    -1.1349460825e+03    11.27       31.4  
21621    27473    11152    45       -1.0200000000e+03    -1.1348862071e+03    11.26       31.5  
21764    27601    11229    56       -1.0200000000e+03    -1.1348711891e+03    11.26       31.6  
21911    27739    11304    48       -1.0200000000e+03    -1.1347663364e+03    11.25       31.7  
22068    27884    11379    43       -1.0200000000e+03    -1.1346825915e+03    11.24       31.8  
22213    28021    11460    28       -1.0200000000e+03    -1.1345923771e+03    11.23       32.0  
22356    28152    11537    170      -1.0200000000e+03    -1.1345541377e+03    11.23       32.1  
22516    28289    11613    175      -1.0200000000e+03    -1.1343854342e+03    11.21       32.3  
22668    28429    11683    182      -1.0200000000e+03    -1.1343425252e+03    11.21       32.5  
22816    28564    11767    60       -1.0200000000e+03    -1.1342890575e+03    11.20       32.6  
22964    28694    11843    182      -1.0200000000e+03    -1.1342518955e+03    11.20       32.7  
23098    28821    11915    184      -1.0200000000e+03    -1.1342044094e+03    11.20       32.9  
23249    28954    11994    46       -1.0200000000e+03    -1.1341589393e+03    11.19       33.1  
23403    29093    12074    21       -1.0200000000e+03    -1.1340873209e+03    11.19       33.3  
23546    29225    12155    43       -1.0200000000e+03    -1.1340627627e+03    11.18       33.5  
23692    29358    12237    104      -1.0200000000e+03    -1.1340372250e+03    11.18       33.7  
23836    29492    12315    70       -1.0200000000e+03    -1.1338260197e+03    11.16       33.9  
23980    29623    12393    56       -1.0200000000e+03    -1.1337495507e+03    11.15       34.1  
24118    29752    12473    21       -1.0200000000e+03    -1.1336839321e+03    11.15       34.3  
24266    29886    12553    61       -1.0200000000e+03    -1.1335763408e+03    11.13       34.5  
24427    30023    12636    41       -1.0200000000e+03    -1.1335182510e+03    11.13       34.7  
24580    30160    12721    65       -1.0200000000e+03    -1.1334687561e+03    11.12       34.8  
24728    30291    12799    25       -1.0200000000e+03    -1.1334417044e+03    11.12       34.9  
24879    30427    12884    42       -1.0200000000e+03    -1.1334001474e+03    11.12       35.0  
25029    30560    12958    179      -1.0200000000e+03    -1.1332434824e+03    11.10       35.1  
25178    30694    13041    32       -1.0200000000e+03    -1.1331108070e+03    11.09       35.2  
25336    30838    13119    103      -1.0200000000e+03    -1.1330602092e+03    11.08       35.4  
25478    30970    13201    33       -1.0200000000e+03    -1.1330523024e+03    11.08       35.5  
25624    31102    13285    23       -1.0200000000e+03    -1.1329609536e+03    11.07       35.6  
25793    31242    13364    43       -1.0200000000e+03    -1.1329075517e+03    11.07       35.8  
25960    31381    13437    21       -1.0200000000e+03    -1.1328439584e+03    11.06       36.0  
26117    31514    13516    35       -1.0200000000e+03    -1.1327892253e+03    11.06       36.1  
26263    31647    13592    43       -1.0200000000e+03    -1.1327194647e+03    11.05       36.2  
26418    31780    13671    46       -1.0200000000e+03    -1.1326837022e+03    11.05       36.4  
26570    31915    13757    37       -1.0200000000e+03    -1.1326209857e+03    11.04       36.6  
26715    32047    13836    56       -1.0200000000e+03    -1.1325826872e+03    11.04       36.8  
26858    32176    13913    50       -1.0200000000e+03    -1.1325213931e+03    11.03       37.0  
27023    32316    13984    15       -1.0200000000e+03    -1.1324919392e+03    11.03       37.3  
27151    32441    14060    267      -1.0200000000e+03    -1.1324477167e+03    11.02       37.5  
27299    32586    14124    273      -1.0200000000e+03    -1.1323920760e+03    11.02       37.7  
27445    32723    14198    34       -1.0200000000e+03    -1.1323314693e+03    11.01       37.9  
27602    32864    14277    17       -1.0200000000e+03    -1.1322971321e+03    11.01       38.1  
27757    32997    14360    36       -1.0200000000e+03    -1.1322494247e+03    11.00       38.3  
27914    33134    14439    32       -1.0200000000e+03    -1.1322364590e+03    11.00       38.5  
28063    33265    14516    42       -1.0200000000e+03    -1.1321055974e+03    10.99       38.7  
28198    33385    14591    37       -1.0200000000e+03    -1.1320018794e+03    10.98       38.9  
28364    33523    14667    55       -1.0200000000e+03    -1.1319544365e+03    10.98       39.1  
28513    33661    14744    79       -1.0200000000e+03    -1.1319076864e+03    10.97       39.4  
28665    33802    14816    26       -1.0200000000e+03    -1.1318339753e+03    10.96       39.6  
28804    33935    14893    51       -1.0200000000e+03    -1.1317774161e+03    10.96       39.8  
28957    34067    14966    28       -1.0200000000e+03    -1.1316954558e+03    10.95       40.1  
29118    34210    15049    50       -1.0200000000e+03    -1.1315852844e+03    10.94       40.2  
29263    34341    15132    41       -1.0200000000e+03    -1.1315110309e+03    10.93       40.3  
29429    34475    15206    23       -1.0200000000e+03    -1.1314658654e+03    10.93       40.5  
29570    34601    15283    56       -1.0200000000e+03    -1.1314658654e+03    10.93       40.7  
29719    34734    15356    78       -1.0200000000e+03    -1.1313567831e+03    10.92       40.8  
29856    34860    15425    13       -1.0200000000e+03    -1.1313164159e+03    10.91       41.0  
29991    34987    15506    60       -1.0200000000e+03    -1.1312784267e+03    10.91       41.2  
30137    35118    15572    32       -1.0200000000e+03    -1.1312503068e+03    10.91       41.3  
30288    35246    15645    59       -1.0200000000e+03    -1.1312334540e+03    10.91       41.5  
30450    35383    15721    24       -1.0200000000e+03    -1.1311855047e+03    10.90       41.6  
30607    35519    15802    18       -1.0200000000e+03    -1.1311389322e+03    10.90       41.7  
30753    35653    15890    28       -1.0200000000e+03    -1.1310438111e+03    10.89       41.8  
